company_id,type,rule_id,text,confidence_pct
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.59 is elevated for a non-financial company and warrants monitoring,90
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BHARTIARTL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
BHEL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BOSCHLTD,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BOSCHLTD,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,84
BPCL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
BPCL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
BRITANNIA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
BRITANNIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
CANBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CANBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
CANBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
CANBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,92
CHOLAFIN,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
CHOLAFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
CHOLAFIN,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
CIPLA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
CIPLA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,84
COALINDIA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
COALINDIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,90
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
DLF,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
DLF,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
DMART,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
DRREDDY,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
EICHERMOT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
EICHERMOT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
GAIL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,98
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,90
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
GRASIM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
HAL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
HAL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HCLTECH,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HDFCBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,94
HDFCBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
HDFCBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
HDFCBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
HDFCBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
HDFCLIFE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
HDFCLIFE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HDFCLIFE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HEROMOTOCO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
HEROMOTOCO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85
HEROMOTOCO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HEROMOTOCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HEROMOTOCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HEROMOTOCO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HINDALCO,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
HINDALCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HINDALCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HINDALCO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
HINDUNILVR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88
HINDUNILVR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
HINDUNILVR,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
HINDUNILVR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
HINDUNILVR,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
HINDUNILVR,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ICICIBANK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ICICIBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,94
ICICIBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
ICICIBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ICICIBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ICICIBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ICICIBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
ICICIBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
ICICIBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ICICIGI,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ICICIGI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ICICIGI,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ICICIGI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ICICIGI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
ICICIPRULI,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ICICIPRULI,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
ICICIPRULI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ICICIPRULI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
INDIGO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDIGO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INDIGO,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
INDIGO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
INDIGO,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
INDIGO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
INDIGO,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
INDIGO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
INDIGO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
INDUSINDBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INDUSINDBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
INDUSINDBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
INDUSINDBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
INDUSINDBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
INDUSINDBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
INDUSINDBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
INDUSINDBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
INFY,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
INFY,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
INFY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INFY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
IOC,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
IOC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IOC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
IOC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
IOC,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
IRCTC,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
IRCTC,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
IRCTC,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
IRCTC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
IRCTC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IRCTC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
IRCTC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
IRCTC,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
IRCTC,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,84
IRFC,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,94
IRFC,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
IRFC,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90
IRFC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
IRFC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
IRFC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
IRFC,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
ITC,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
ITC,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ITC,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ITC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ITC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
ITC,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
JINDALSTEL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,88
JINDALSTEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85
JIOFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86
JIOFIN,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
JIOFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
JIOFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92
